Item,SKU,Categoria,Itens vendidos,Vendas brutas,Itens reembolsados,Reembolsos,Descontos,Vendas líquidas,Custo das mercadorias,Lucro bruto,Margem,Impostos
Bata adulto,10000,Roupas,5.000,300.00,0.000,0.00,0.00,300.00,198.00,102.00,34.00%,0.00
Bata infantil,10001,Roupas,4.000,170.00,0.000,0.00,0.00,170.00,116.00,54.00,31.76%,0.00
Body,10003,Roupas,20.000,700.00,0.000,0.00,0.00,700.00,372.00,328.00,46.86%,0.00
Body conjunto,10004,Roupas,2.000,120.00,0.000,0.00,0.00,120.00,55.00,65.00,54.17%,0.00
Bolsa 55,10020,Bolsas,7.000,385.00,0.000,0.00,0.00,385.00,154.00,231.00,60.00%,0.00
Bolsa kit 125,10039,Bolsas,39.000,4875.00,0.000,0.00,0.00,4875.00,3055.00,1820.00,37.33%,0.00
Bolsinha 15,10021,Bolsas,6.000,90.00,0.000,0.00,0.00,90.00,36.00,54.00,60.00%,0.00
Bolsinha 20,10022,Bolsas,3.000,60.00,0.000,0.00,0.00,60.00,48.00,12.00,20.00%,0.00
Boneca,10032,Outros,6.000,180.00,0.000,0.00,0.00,180.00,129.00,51.00,28.33%,0.00
Caneca louça,10030,Outros,56.000,1960.00,0.000,0.00,0.00,1960.00,1201.50,758.50,38.70%,0.00
Caneca Ágata 20,10028,Outros,24.000,480.00,0.000,0.00,0.00,480.00,350.00,130.00,27.08%,0.00
Caneca Ágata 30,10029,Outros,2.000,60.00,0.000,0.00,0.00,60.00,45.00,15.00,25.00%,0.00
Canga elastano,10005,Roupas,40.000,2200.00,0.000,0.00,0.00,2200.00,1675.00,525.00,23.86%,0.00
Canga viscose,10006,Roupas,15.000,975.00,0.000,0.00,0.00,975.00,535.00,440.00,45.13%,0.00
Carteira alça,10023,Bolsas,69.000,1035.00,0.000,0.00,0.00,1035.00,615.00,420.00,40.58%,0.00
Chaveiro 5,10033,Outros,16.000,80.00,0.000,0.00,0.00,80.00,36.00,44.00,55.00%,0.00
Chaveiro ímã 10,10034,Outros,347.000,3470.00,0.000,0.00,0.00,3470.00,2305.00,1165.00,33.57%,0.00
Color 60,10007,Roupas,12.000,720.00,0.000,0.00,0.00,720.00,382.50,337.50,46.88%,0.00
Color XG 65,10008,Roupas,3.000,195.00,0.000,0.00,0.00,195.00,116.00,79.00,40.51%,0.00
Ecobag,10025,Bolsas,60.000,1500.00,0.000,0.00,0.00,1500.00,825.00,675.00,45.00%,0.00
Embalagem presente 10,10037,Outros,5.000,50.00,0.000,0.00,0.00,50.00,50.00,0.00,0.00%,0.00
Embalagem presente 5,10036,Outros,11.000,55.00,0.000,0.00,0.00,55.00,55.00,0.00,0.00%,0.00
Imã 15,10035,Outros,41.000,615.00,0.000,0.00,0.00,615.00,615.00,0.00,0.00%,0.00
Macaquinho,10009,Roupas,7.000,320.00,0.000,0.00,0.00,320.00,288.00,32.00,10.00%,0.00
Necessaire,10026,Bolsas,150.000,3000.00,1.000,20.00,0.00,2980.00,2980.00,0.00,0.00%,0.00
Oxe adulto,10010,Roupas,8.000,480.00,0.000,0.00,0.00,480.00,241.65,238.35,49.66%,0.00
Oxe conjunto,10012,Roupas,10.000,780.00,0.000,0.00,0.00,780.00,505.00,275.00,35.26%,0.00
Oxe infantil,10011,Roupas,3.000,165.00,0.000,0.00,0.00,165.00,130.90,34.10,20.67%,0.00
Oxe XG,10013,Roupas,2.000,130.00,0.000,0.00,0.00,130.00,63.80,66.20,50.92%,0.00
Placa,10019,Outros,159.000,3180.00,0.000,0.00,0.00,3180.00,1444.00,1736.00,54.59%,0.00
Placa kit 100,10038,Outros,19.000,1900.00,0.000,0.00,0.00,1900.00,940.00,960.00,50.53%,0.00
Porta lingerie,10027,Bolsas,3.000,75.00,0.000,0.00,0.00,75.00,25.50,49.50,66.00%,0.00
Regional adulto,10014,Roupas,181.000,9955.00,0.000,0.00,0.00,9955.00,6417.00,3538.00,35.54%,0.00
Regional infantil,10015,Roupas,24.000,1080.00,0.000,0.00,0.00,1080.00,804.00,276.00,25.56%,0.00
Saída praia,10016,Roupas,9.000,585.00,0.000,0.00,0.00,585.00,442.20,142.80,24.41%,0.00
Sereia,10017,Roupas,1.000,180.00,0.000,0.00,0.00,180.00,180.00,0.00,0.00%,0.00
Vestido algodão,10018,Roupas,6.000,350.00,0.000,0.00,0.00,350.00,194.00,156.00,44.57%,0.00